agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
PSS_Social,21,random,42,1.0,0.86,0.24,33.68,0.6054131594501354,0.33320715934038164,0.004156769596199525,100
PSS_Social,21,random,456,1.0,0.9,0.2,37.65,0.45329831533672704,0.3331302411854267,0.005577689243027889,100
PSS_Social,21,random,9,0.96,0.86,0.18,43.01,0.41666681271993183,0.33919889271259307,0.01116019530341781,100
SFM,21,random,42,0.3,0.27,0.26,86.54,0.13283636793500095,0.3487696200609207,0.05662121562283337,100
SFM,21,random,123,0.31,0.28,0.18,86.0,0.15316019122709215,0.3507038375735283,0.06302325581395349,100
SFM,21,random,456,0.37,0.35,0.11,84.52,0.11923234315850618,0.34516836404800416,0.0720539517274018,100
SFM,21,random,9,0.3,0.27,0.22,87.58,0.14085551122654097,0.3557299736142159,0.07216259419958895,100
SFM,21,random,10,0.29,0.28,0.2,87.73,0.1439202317864775,0.3484936040639877,0.07979026558759832,100
ORCA,21,random,42,0.91,0.74,0.72,55.71,0.0893095304438919,0.32023586124181747,0.04092622509423802,100
ORCA,21,random,123,0.97,0.82,0.43,52.8,0.0765868748752289,0.3207037582993507,0.035227272727272725,100
ORCA,21,random,456,0.9,0.75,0.6,52.43,0.07751361721942486,0.3238096386194229,0.037383177570093455,100
ORCA,21,random,9,0.89,0.69,0.72,55.98,0.07650489160088901,0.3176859365403652,0.03269024651661308,100
ORCA,21,random,10,0.91,0.74,0.52,56.68,0.07466876822639477,0.31654636055231095,0.03546224417784051,100
SARL,21,random,10,0.72,0.2,3.19,54.33,0.032676684162391306,0.27331492185592654,0.041413583655438985,100
SARL,21,random,123,0.53,0.09,4.62,67.21,0.032830014633975835,0.25960244089365003,0.09611664930813867,100
SARL,21,random,42,0.44,0.07,4.96,74.33,0.025232411817964297,0.2542844782024622,0.10386115969325979,100
SARL,21,random,456,0.7,0.12,4.3,51.59,0.04063203470237637,0.2507900553569198,0.053111068036441174,100
SARL,21,random,9,0.17,0.01,4.17,91.06,0.03435850808293886,0.2529812215268612,0.14122556556116847,100
DS_RNN,21,random,10,0.79,0.18,4.17,51.62,0.03269873227838464,0.26310344979166983,0.08155753583882216,100
DS_RNN,21,random,123,0.57,0.12,3.37,61.39,0.047296953869537944,0.26411744438111784,0.07525655644241733,100
DS_RNN,21,random,42,0.47,0.15,3.56,72.88,0.03342899340399406,0.274165961779654,0.05557080131723381,100
DS_RNN,21,random,456,0.74,0.14,4.7,51.84,0.04715348460452696,0.24118090204894543,0.06847993827160494,100
DS_RNN,21,random,9,0.13,0.01,4.61,90.89,0.029114236031235297,0.23956528194248677,0.12487622400704147,100
LSTM_RL,21,random,10,0.99,0.77,0.53,34.99,0.32371797078026326,0.31797208681702616,0.006573306659045442,100
LSTM_RL,21,random,123,1.0,0.77,0.49,29.95,0.6325895756360832,0.3187410107254982,0.005342237061769616,100
LSTM_RL,21,random,42,0.99,0.66,0.65,32.01,0.5715402587797759,0.31328095987439153,0.0018744142455482662,100
LSTM_RL,21,random,456,1.0,0.76,0.39,31.6,0.6061208182020612,0.32023737832903865,0.0037974683544303796,100
LSTM_RL,21,random,9,1.0,0.78,0.44,30.42,0.556257691142864,0.32141490578651427,0.0039447731755424065,100
PSS_Social,23,random,10,0.97,0.72,0.55,43.09,0.45491008312536774,0.32140655905008314,0.008354606637270829,100
PSS_Social,23,random,123,0.86,0.67,0.46,47.29,0.5604826241746129,0.3202420036494732,0.009092831465426094,100
PSS_Social,23,random,42,0.99,0.8,0.46,35.61,0.5791855054985268,0.3263444010913372,0.005616399887672002,100
PSS_Social,23,random,456,0.98,0.81,0.38,39.04,0.44599530771355117,0.32405505686998365,0.007940573770491803,100
PSS_Social,23,random,9,0.92,0.72,0.46,48.29,0.41941111010977267,0.3225972653925419,0.014702837026299442,100
SFM,23,random,42,0.31,0.28,0.32,85.14,0.1477612774672629,0.34200085282325743,0.06765327695560254,100
SFM,23,random,123,0.35,0.34,0.32,86.11,0.14352659455812156,0.34549025535583494,0.07304610382069446,100
SFM,23,random,456,0.36,0.32,0.27,82.76,0.12865978997196262,0.3428191962838173,0.0709279845335911,100
SFM,23,random,9,0.28,0.25,0.21,86.16,0.1380061484544691,0.3491208407282829,0.07462859795728877,100
SFM,23,random,10,0.32,0.3,0.3,84.58,0.11619578815369644,0.34550940692424775,0.06786474343816505,100
ORCA,23,random,42,0.91,0.73,0.77,57.01,0.07208318112300637,0.3168517053127289,0.03437993334502719,100
